危险因子	疾病	 OR 	references
性别=女	外周血管病	5.12	王勇、李觉、徐亚伟、布艾加尔·哈斯木、杨进刚、袁洪、胡大一.中国自然人群下肢外周动脉疾病患病率及相关危险因素[J].中华心血管病杂志2009年12月37(12):1129
疾病史.妇科=月经周期不规律	乳腺癌	5.05	郑艳敏, 沈月平, 刘银梅, et al. 中国女性乳腺癌危险因素Meta分析[J]. 中国公共卫生, 2012, 28(12):1645-1648.
生活方式=饮用沟塘水	肝癌	 5.0 	叶家才,崔书中,巴明臣.原发性肝癌的流行病学特征及其危险因素[J].实用医学杂志.2008(24):1839-1841
疾病史.内分泌系统=糖尿病 and 性别=男	慢性肾病	4.9	张晓光、汪年松.慢性肾脏病危险因素的研究进展[J].实用医学杂志2007,23(23):3641
家族史.消化系统=丙肝	丙肝	4.9	张再伟, & 雷秉钧. (1998). 丙型肝炎感染途径多中心研究结果的meta分析. 现代预防医学(1), 26-28.
家族史.消化系统=丙肝	丙肝	4.9	张再伟, & 雷秉钧. (1998). 丙型肝炎感染途径多中心研究结果的meta分析. 现代预防医学(1), 26-28.
家族史.消化系统=丙肝	丙肝	4.9	张再伟, & 雷秉钧. (1998). 丙型肝炎感染途径多中心研究结果的meta分析. 现代预防医学(1), 26-28.
家族史.消化系统=丙肝	丙肝	4.9	张再伟, & 雷秉钧. (1998). 丙型肝炎感染途径多中心研究结果的meta分析. 现代预防医学(1), 26-28.
家族史.消化系统=丙肝	丙肝	4.9	张再伟, & 雷秉钧. (1998). 丙型肝炎感染途径多中心研究结果的meta分析. 现代预防医学(1), 26-28.
家族史.消化系统=丙肝 and 性别=男	丙肝	4.85	张再伟, & 雷秉钧. (1998). 丙型肝炎感染途径多中心研究结果的meta分析. 现代预防医学(1), 26-28.
疾病史.内分泌系统=糖尿病 and 性别=男	胰腺癌	4.65	施健[1], 吴诚[1], 刘苏[1], & 谢渭芬[1]. (2004). 我国胰腺癌部分发病危险因素的meta分析. 中华胰腺病杂志(3).
bmi1_35_99 and 男	肝癌	 4.5 	叶家才,崔书中,巴明臣.原发性肝癌的流行病学特征及其危险因素[J].实用医学杂志.2008(24):1839-1841
家族史.癌症=膀胱癌	膀胱癌	4.43	韩瑞发, 潘建刚. 中国人群膀胱癌发病危险因素的Meta分析[J]. 中华泌尿外科杂志, 2006, 27(4):243-246.
丙肝家族史	肝癌	 4.4 	曾运红,谭卫仙.原发性肝癌发病主要危险因素的Meta分析[J].现代预防医学,2004(31):172-174
疾病史=丙肝感染	肝癌	 4.4 	曾运红,谭卫仙.原发性肝癌发病主要危险因素的Meta分析[J].现代预防医学,2004(31):172-174
饮食.微量元素=高碘饮食	甲状腺癌	4.15	陈芳,吴凯,徐明星,杨燕.基于病例对照研究的甲状腺癌危险因素[J].中华地方病学杂志,36(4):250-256
性别=男	膀胱癌	4.12	韩瑞发, 潘建刚. 中国人群膀胱癌发病危险因素的Meta分析[J]. 中华泌尿外科杂志, 2006, 27(4):243-246.
饮食.其他=常吃腌制食品	胃癌	4.1	贺圣文, 赵仁宏, 王春平, & 秦浩. (2010). 胃癌危险因素的meta分析. 中国卫生统计, 27(2), 146-148.
饮食.肉蛋奶=常吃蛋类及制品	前列腺癌	4.04	赵钰, 张强, 于静. 我国前列腺癌部分危险因素的Meta分析[J]. 现代预防医学, 2010, 37(4):617-619.
环境=辐射	甲状腺癌	3.99	陈芳,吴凯,徐明星,杨燕.基于病例对照研究的甲状腺癌危险因素[J].中华地方病学杂志,36(4):250-256
