危险因子	疾病	 OR 	references
家族史.癌症=宫颈癌	宫颈癌	2.21	周权, 黄民主, 黄霜, et al. 中国已婚妇女宫颈癌发病影响因素Meta分析[J]. 中国癌症杂志, 2011, 21(2):125-129.
家族史.癌症=宫颈癌	宫颈癌	2.21	周权, 黄民主, 黄霜, et al. 中国已婚妇女宫颈癌发病影响因素Meta分析[J]. 中国癌症杂志, 2011, 21(2):125-129.
家族史.癌症=宫颈癌	宫颈癌	2.21	周权, 黄民主, 黄霜, et al. 中国已婚妇女宫颈癌发病影响因素Meta分析[J]. 中国癌症杂志, 2011, 21(2):125-129.
家族史.癌症=宫颈癌	宫颈癌	2.21	周权, 黄民主, 黄霜, et al. 中国已婚妇女宫颈癌发病影响因素Meta分析[J]. 中国癌症杂志, 2011, 21(2):125-129.
家族史.癌症=宫颈癌	宫颈癌	2.21	周权, 黄民主, 黄霜, et al. 中国已婚妇女宫颈癌发病影响因素Meta分析[J]. 中国癌症杂志, 2011, 21(2):125-129.
疾病史.内分泌系统=糖尿病 and 性别=男	脑卒中	2.2	高东旗, 张洪达, 李宏, 宋文静, 胡晓羽, & GAODong-qi, et al. (2014). 中国人群脑卒中发病危险因素meta分析. 解放军医药杂志(5), 58-61.
吸烟.量=吸烟	慢阻肺	2.12	(2015). 中国大陆人群慢性阻塞性肺疾病发病危险因素的meta分析. 重庆医学, 44(12), 1655-1657.
饮食.微量元素=高盐饮食	食管癌	2.11	谭淼, 熊文婧, 朱宗玉, et al. 中国人群食管癌发病影响因素的系统综述和Meta分析[J]. 现代预防医学, 2014, 41(23):4310-4316.
疾病史.内分泌系统=糖尿病 and 性别=男	冠心病	2.1	冉进军, 姜媛, 刘巧兰, 韩乐飞, & 齐鸿超. (2014). 冠心病危险因素的meta分析. 西部医学, 26(12), 1629-1632.
疾病史.心脑血管=高血脂	冠心病	2.1	冉进军, 姜媛, 刘巧兰, 韩乐飞, & 齐鸿超. (2014). 冠心病危险因素的meta分析. 西部医学, 26(12), 1629-1632.
疾病史.心脑血管=呼吸道疾病	慢阻肺	2.1	(2015). 中国大陆人群慢性阻塞性肺疾病发病危险因素的meta分析. 重庆医学, 44(12), 1655-1657.
疾病史.心脑血管=脑卒中（俗称中风）	外周血管病	2.1	王勇、李觉、徐亚伟、布艾加尔·哈斯木、杨进刚、袁洪、胡大一.中国自然人群下肢外周动脉疾病患病率及相关危险因素[J].中华心血管病杂志2009年12月37(12):1129
生活方式.性生活=超过个1性伴侣	宫颈癌	2.09	吕行, 犹忆, 关思宇,等. 宫颈癌危险因素的Meta分析[J]. 现代预防医学, 2011, 38(22):4596-4598.
疾病史.精神或神经系统=精神创伤	食管癌	2.07	谭淼, 熊文婧, 朱宗玉, et al. 中国人群食管癌发病影响因素的系统综述和Meta分析[J]. 现代预防医学, 2014, 41(23):4310-4316.
吸烟.量=二手烟（每周15分钟以上）	乳腺癌	2.06	郑艳敏, 沈月平, 刘银梅, et al. 中国女性乳腺癌危险因素Meta分析[J]. 中国公共卫生, 2012, 28(12):1645-1648.
婚育=早婚	宫颈癌	2.05	"1 周权, 黄民主, 黄霜, et al. 中国已婚妇女宫颈癌发病影响因素Meta分析[J]. 中国癌症杂志, 2011, 21(2):125-129.
2 万磊, 李隆玉, 曾四元, et al. 中国近10年已婚妇女宫颈癌发病因素Meta分析[J]. 中国综合临床, 2013(s1)."
疾病史.其他=性病	丙肝	2.05	苏迎盈, & 汪宁. (2011). 丙型肝炎病毒感染主要危险因素的meta分析. 中华流行病学杂志, 32(9), 940-945.
饮食.其他=常吃高油脂食物	肠癌	2.05	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
BMI=[35,99) and 性别=男	糖尿病	2.03	Prevalence and Control of Diabetes in Chinese Adults
婚育=怀孕3次以上	甲状腺癌	2.03	陈芳,吴凯,徐明星,杨燕.基于病例对照研究的甲状腺癌危险因素[J].中华地方病学杂志,36(4):250-256
疾病史.心脑血管=有高胆固醇症状	冠心病	2	冉进军, 姜媛, 刘巧兰, 韩乐飞, & 齐鸿超. (2014). 冠心病危险因素的meta分析. 西部医学, 26(12), 1629-1632.
饮食.肉蛋奶=常吃海鲜	痛风	2	"1 沙海滨、贺圣文、戚翠媛、周遵伟、郑培坤、李万伟.痛风危险因素的病例对照研究[J].中国慢性病预防与控制2010年4月18(2):147；
2 路杰, 崔凌凌, 李长贵. 原发性痛风流行病学研究进展[J]. 中华内科杂志, 2015, 54(3):244-247."
疾病史.消化系统=痔疮	肠癌	1.99	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
疾病史.消化系统=十二指肠溃疡	食管癌	1.98	张小刚, 钟理, 王建飞. 食管癌危险因素及预防研究进展[J]. 世界华人消化杂志, 2009, 17(7):677-680.
家族史.癌症=癌症	肠癌	1.97	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
饮食.酒精=大于0.1g	脑卒中	1.97	高东旗, 张洪达, 李宏, 宋文静, 胡晓羽, & GAODong-qi, et al. (2014). 中国人群脑卒中发病危险因素meta分析. 解放军医药杂志(5), 58-61.
BMI=[25,30) and 性别=男	痛风	1.95	路杰, 崔凌凌, 李长贵. 原发性痛风流行病学研究进展[J]. 中华内科杂志, 2015, 54(3):244-247.
环境=化学物质	膀胱癌	1.95	韩瑞发, 潘建刚. 中国人群膀胱癌发病危险因素的Meta分析[J]. 中华泌尿外科杂志, 2006, 27(4):243-246.
饮食.肉蛋奶=常吃肥肉	肠癌	1.94	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
疾病史.心脑血管=冠心病	糖尿病	1.93	邹宇华、张弛、张冬梅、李丽霞、李坚、麦绮娜.2型糖尿病危险因素的非条件Logistic回归分析[J].中国慢性病预防与控制2004年2月12(1):13
疾病史.妇科=乳腺疾病	乳腺癌	1.87	郑艳敏, 沈月平, 刘银梅, et al. 中国女性乳腺癌危险因素Meta分析[J]. 中国公共卫生, 2012, 28(12):1645-1648.
吸烟.量=吸烟 and 性别=男	胰腺癌	1.86	施健[1], 吴诚[1], 刘苏[1], & 谢渭芬[1]. (2004). 我国胰腺癌部分发病危险因素的meta分析. 中华胰腺病杂志(3).
饮食.其他=常吃腌制食品	食管癌	1.86	谭淼, 熊文婧, 朱宗玉, et al. 中国人群食管癌发病影响因素的系统综述和Meta分析[J]. 现代预防医学, 2014, 41(23):4310-4316.
饮食.偏好饮品=常喝含糖饮料/果糖	痛风	1.85	路杰, 崔凌凌, 李长贵. 原发性痛风流行病学研究进展[J]. 中华内科杂志, 2015, 54(3):244-247.
环境=粉尘或化学物质	慢阻肺	1.82	(2015). 中国大陆人群慢性阻塞性肺疾病发病危险因素的meta分析. 重庆医学, 44(12), 1655-1657.
家族史.呼吸系统=呼吸疾病	慢阻肺	1.82	(2015). 中国大陆人群慢性阻塞性肺疾病发病危险因素的meta分析. 重庆医学, 44(12), 1655-1657.
家族史.呼吸系统=慢阻肺	慢阻肺	1.82	(2015). 中国大陆人群慢性阻塞性肺疾病发病危险因素的meta分析. 重庆医学, 44(12), 1655-1657.
家族史.呼吸系统=慢阻肺	慢阻肺	1.82	(2015). 中国大陆人群慢性阻塞性肺疾病发病危险因素的meta分析. 重庆医学, 44(12), 1655-1657.
家族史.呼吸系统=慢阻肺	慢阻肺	1.82	(2015). 中国大陆人群慢性阻塞性肺疾病发病危险因素的meta分析. 重庆医学, 44(12), 1655-1657.
家族史.呼吸系统=慢阻肺	慢阻肺	1.82	(2015). 中国大陆人群慢性阻塞性肺疾病发病危险因素的meta分析. 重庆医学, 44(12), 1655-1657.
家族史.呼吸系统=慢阻肺	慢阻肺	1.82	(2015). 中国大陆人群慢性阻塞性肺疾病发病危险因素的meta分析. 重庆医学, 44(12), 1655-1657.
家族史.癌症=癌症	肺癌	 1.8 	王文雷,付莉,崔亚玲,陆维权.中国人群肺癌发病危险因素的Meta分析[J].现代预防医学,2008(22):4336-4338.
疾病史.消化系统=胆囊疾病	肠癌	1.79	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
吸烟.量=吸烟	冠心病	1.79	冉进军, 姜媛, 刘巧兰, 韩乐飞, & 齐鸿超. (2014). 冠心病危险因素的meta分析. 西部医学, 26(12), 1629-1632.
饮食.酒精=大于0.1g	肝癌	 1.8 	曾运红,谭卫仙.原发性肝癌发病主要危险因素的Meta分析[J].现代预防医学,2004(31):172-174
婚育=多孕	宫颈癌	1.753	吕行, 犹忆, 关思宇,等. 宫颈癌危险因素的Meta分析[J]. 现代预防医学, 2011, 38(22):4596-4598.
症状.情绪=脾气暴躁	肠癌	1.72	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
吸烟.量=吸烟	宫颈癌	1.718	吕行, 犹忆, 关思宇,等. 宫颈癌危险因素的Meta分析[J]. 现代预防医学, 2011, 38(22):4596-4598.
吸烟.量=二手烟（每周15分钟以上）	肺癌	 1.7 	王文雷,付莉,崔亚玲,陆维权.中国人群肺癌发病危险因素的Meta分析[J].现代预防医学,2008(22):4336-4338.
BMI=[35,99) and 性别=男	慢性肾病	1.68	张晓光、汪年松.慢性肾脏病危险因素的研究进展[J].实用医学杂志2007,23(23):3641
bmi1_35_99 and 女	肝癌	 1.7 	叶家才,崔书中,巴明臣.原发性肝癌的流行病学特征及其危险因素[J].实用医学杂志.2008(24):1839-1841
学历=[文盲,小学]	宫颈癌	1.68	万磊,李隆玉,曾四元.中国近10年已婚妇女宫颈癌发病因素Meta分析[J].中国综合临床,2013,29(13):133-136.
疾病史=癌症	宫颈癌	1.67	吕行, 犹忆, 关思宇,等. 宫颈癌危险因素的Meta分析[J]. 现代预防医学, 2011, 38(22):4596-4598.
饮食.其他=常吃腌制食品	鼻咽癌	1.67	杨业春，陈楚玉 ，钟玉霖. 鼻咽癌危险因子的危险度计算及其意义[J] . 中国医院统计，2011，18(1)：58-61
疾病史.精神或神经系统=重大精神创伤	宫颈癌	1.64	吕行, 犹忆, 关思宇,等. 宫颈癌危险因素的Meta分析[J]. 现代预防医学, 2011, 38(22):4596-4598.
疾病史.心脑血管=高血脂	脑卒中	1.64	高东旗, 张洪达, 李宏, 宋文静, 胡晓羽, & GAODong-qi, et al. (2014). 中国人群脑卒中发病危险因素meta分析. 解放军医药杂志(5), 58-61.
生活方式.性生活=超过个1性伴侣	宫颈癌	1.63	吕行, 犹忆, 关思宇,等. 宫颈癌危险因素的Meta分析[J]. 现代预防医学, 2011, 38(22):4596-4598.
饮食.偏好饮品=常喝牛奶	前列腺癌	1.63	赵钰, 张强, 于静. 我国前列腺癌部分危险因素的Meta分析[J]. 现代预防医学, 2010, 37(4):617-619.
饮食.肉蛋奶=常吃红肉	肠癌	1.62	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
饮食.微量元素=高盐饮食	肠癌	1.61	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
疾病史.妇科=子宫内膜异位	卵巢癌	1.6	"Aris A. Endometriosis-associated ovarian cancer：A ten-year cohort
study of women living in the Estrie Region of Quebec，Canada ［J］.
赵文华, 宋静慧. 卵巢癌危险因素研究进展[J]. 国际妇产科学杂志, 2013, 40(1):50-53.
J Ovarian Res，2010，3：2."
疾病史.妇科=早潮	甲状腺癌	1.59	陈芳,吴凯,徐明星,杨燕.基于病例对照研究的甲状腺癌危险因素[J].中华地方病学杂志,36(4):250-256
饮食.酒精=大于0.1g	痛风	1.58	2016中国痛风诊疗指南 《中华内科杂志》2016年第55卷第11期
家族史.癌症=食管癌	食管癌	1.57	张小刚, 钟理, 王建飞. 食管癌危险因素及预防研究进展[J]. 世界华人消化杂志, 2009, 17(7):677-680.
家族史.癌症=食管癌	食管癌	1.57	张小刚, 钟理, 王建飞. 食管癌危险因素及预防研究进展[J]. 世界华人消化杂志, 2009, 17(7):677-680.
家族史.癌症=食管癌	食管癌	1.57	张小刚, 钟理, 王建飞. 食管癌危险因素及预防研究进展[J]. 世界华人消化杂志, 2009, 17(7):677-680.
家族史.癌症=食管癌	食管癌	1.57	张小刚, 钟理, 王建飞. 食管癌危险因素及预防研究进展[J]. 世界华人消化杂志, 2009, 17(7):677-680.
家族史.癌症=食管癌	食管癌	1.57	张小刚, 钟理, 王建飞. 食管癌危险因素及预防研究进展[J]. 世界华人消化杂志, 2009, 17(7):677-680.
家族史.癌症=食管癌	食管癌	1.57	张小刚, 钟理, 王建飞. 食管癌危险因素及预防研究进展[J]. 世界华人消化杂志, 2009, 17(7):677-680.
疾病史=2型糖尿病	肾癌	1.55	吴坚坚, 方针强, 贾维胜, et al. 2型糖尿病与肾癌发病风险的Meta分析[J]. 局解手术学杂志, 2015(3):307-310.
婚育=流产	乳腺癌	1.54	郑艳敏, 沈月平, 刘银梅, et al. 中国女性乳腺癌危险因素Meta分析[J]. 中国公共卫生, 2012, 28(12):1645-1648.
婚育=晚育	乳腺癌	1.54	陶苹, 胡耀月, 黄源, et al. 亚裔女性乳腺癌危险因素的Meta分析[J]. 中华流行病学杂志, 2011, 32(2):164-169.
吸烟.量=吸烟 and 性别=男	肾癌	1.54	宫再兴, 王共先, 刘伟鹏, et al. 肾细胞癌中的环境因素和可调控危险因素的研究进展[J]. 实用医学杂志, 2014(5):834-837.
疾病史.心脑血管=高血压	糖尿病	1.53	邹宇华、张弛、张冬梅、李丽霞、李坚、麦绮娜.2型糖尿病危险因素的非条件Logistic回归分析[J].中国慢性病预防与控制2004年2月12(1):13
疾病史.心脑血管=心脏病	脑卒中	1.52	高东旗, 张洪达, 李宏, 宋文静, 胡晓羽, & GAODong-qi, et al. (2014). 中国人群脑卒中发病危险因素meta分析. 解放军医药杂志(5), 58-61.
性别=男	糖尿病	1.52	Prevalence and Control of Diabetes in Chinese Adults
BMI=[35,99) and 性别=男	冠心病	1.5	冉进军, 姜媛, 刘巧兰, 韩乐飞, & 齐鸿超. (2014). 冠心病危险因素的meta分析. 西部医学, 26(12), 1629-1632.
婚育=未生育	乳腺癌	1.5	陶苹, 胡耀月, 黄源, et al. 亚裔女性乳腺癌危险因素的Meta分析[J]. 中华流行病学杂志, 2011, 32(2):164-169.
吸烟.量=吸烟	乳腺癌	1.5	陶苹, 胡耀月, 黄源, et al. 亚裔女性乳腺癌危险因素的Meta分析[J]. 中华流行病学杂志, 2011, 32(2):164-169.
饮食.酒精=15～29.9g	痛风	1.49	路杰, 崔凌凌, 李长贵. 原发性痛风流行病学研究进展[J]. 中华内科杂志, 2015, 54(3):244-247.
饮食.酒精=大于0.1g	肺癌	 1.5 	王文雷,付莉,崔亚玲,陆维权.中国人群肺癌发病危险因素的Meta分析[J].现代预防医学,2008(22):4336-4338.
吸烟.量=吸烟	鼻咽癌	1.46	杨业春，陈楚玉 ，钟玉霖. 鼻咽癌危险因子的危险度计算及其意义[J] . 中国医院统计，2011，18(1)：58-61
饮食.其他=常吃动物油	肠癌	1.42	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
吸烟.量=吸烟	肝癌	 1.4 	曾运红,谭卫仙.原发性肝癌发病主要危险因素的Meta分析[J].现代预防医学,2004(31):172-174
饮食.肉蛋奶=常吃肉类	痛风	1.41	路杰, 崔凌凌, 李长贵. 原发性痛风流行病学研究进展[J]. 中华内科杂志, 2015, 54(3):244-247.
疾病史.内分泌系统=糖尿病 and 性别=男	外周血管病	1.4	王勇、李觉、徐亚伟、布艾加尔·哈斯木、杨进刚、袁洪、胡大一.中国自然人群下肢外周动脉疾病患病率及相关危险因素[J].中华心血管病杂志2009年12月37(12):1129
吸烟.量=二手烟（每周15分钟以上）	肠癌	1.39	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
疾病史.心脑血管=冠心病	外周血管病	1.38	王勇、李觉、徐亚伟、布艾加尔·哈斯木、杨进刚、袁洪、胡大一.中国自然人群下肢外周动脉疾病患病率及相关危险因素[J].中华心血管病杂志2009年12月37(12):1129
吸烟.量=吸烟	膀胱癌	1.38	韩瑞发, 潘建刚. 中国人群膀胱癌发病危险因素的Meta分析[J]. 中华泌尿外科杂志, 2006, 27(4):243-246.
吸烟.量=吸烟	脑卒中	1.38	高东旗, 张洪达, 李宏, 宋文静, 胡晓羽, & GAODong-qi, et al. (2014). 中国人群脑卒中发病危险因素meta分析. 解放军医药杂志(5), 58-61.
饮食.酒精=10～14.9g	痛风	1.32	路杰, 崔凌凌, 李长贵. 原发性痛风流行病学研究进展[J]. 中华内科杂志, 2015, 54(3):244-247.
BMI=[23,25) and 性别=男	痛风	1.31	路杰, 崔凌凌, 李长贵. 原发性痛风流行病学研究进展[J]. 中华内科杂志, 2015, 54(3):244-247.
BMI=[24,99)	糖尿病	1.31	Prevalence and Control of Diabetes in Chinese Adults
饮食.偏好饮品=常喝咖啡	膀胱癌	1.31	韩瑞发, 潘建刚. 中国人群膀胱癌发病危险因素的Meta分析[J]. 中华泌尿外科杂志, 2006, 27(4):243-246.
用药史=长期口服避孕药	宫颈癌	1.31	吕行, 犹忆, 关思宇,等. 宫颈癌危险因素的Meta分析[J]. 现代预防医学, 2011, 38(22):4596-4598.
吸烟.量=吸烟	肠癌	1.3	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
饮食.其他=常吃腌制食品	肠癌	1.28	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
环境=烟雾	鼻咽癌	1.27	韩旻雁，银恭举 ，陈维清. 中国人群鼻咽癌发病危险因素的Meta分析[J] . 中国热带医学，2005，5(7)：1442-1443
疾病史.妇科=早潮	乳腺癌	1.26	陶苹, 胡耀月, 黄源, et al. 亚裔女性乳腺癌危险因素的Meta分析[J]. 中华流行病学杂志, 2011, 32(2):164-169.
疾病史.其他=血吸虫病	肠癌	1.25	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
饮食.酒精=5～9.9g	痛风	1.25	路杰, 崔凌凌, 李长贵. 原发性痛风流行病学研究进展[J]. 中华内科杂志, 2015, 54(3):244-247.
学历=[文盲,小学]	慢阻肺	1.24	(2015). 中国大陆人群慢性阻塞性肺疾病发病危险因素的meta分析. 重庆医学, 44(12), 1655-1657.
饮食.其他=常吃烟熏食品	肠癌	1.22	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
饮食.其他=常吃油炸食品	肠癌	1.19	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
饮食.酒精=大于0.1g	肠癌	1.17	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
饮食.酒精=大于0.1g	乳腺癌	1.16	陶苹, 胡耀月, 黄源, et al. 亚裔女性乳腺癌危险因素的Meta分析[J]. 中华流行病学杂志, 2011, 32(2):164-169.
饮食.酒精=大于0.1g and 性别=男	胰腺癌	1.16	施健[1], 吴诚[1], 刘苏[1], & 谢渭芬[1]. (2004). 我国胰腺癌部分发病危险因素的meta分析. 中华胰腺病杂志(3).
吸烟.量=吸烟	前列腺癌	1.12	赵钰, 张强, 于静. 我国前列腺癌部分危险因素的Meta分析[J]. 现代预防医学, 2010, 37(4):617-619.
饮食.酒精=大于0.1g	前列腺癌	1.11	赵钰, 张强, 于静. 我国前列腺癌部分危险因素的Meta分析[J]. 现代预防医学, 2010, 37(4):617-619.
饮食.酒精=0.1～4.9g	痛风	1.09	路杰, 崔凌凌, 李长贵. 原发性痛风流行病学研究进展[J]. 中华内科杂志, 2015, 54(3):244-247.
饮食.肉蛋奶=常吃蛋类及制品	肠癌	1.06	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
饮食.肉蛋奶=常吃禽肉	肠癌	1.06	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
BMI=[21,23) and 性别=男	痛风	1	路杰, 崔凌凌, 李长贵. 原发性痛风流行病学研究进展[J]. 中华内科杂志, 2015, 54(3):244-247.
疾病史.消化系统=胃息肉 and 性别=男	胃癌	1	贺圣文, 赵仁宏, 王春平, & 秦浩. (2010). 胃癌危险因素的meta分析. 中国卫生统计, 27(2), 146-148.
生活方式=不哺乳	卵巢癌	1	"Danforth KN，Tworoger SS，Hecht JL，et al. Breastfeeding and risk
of ovarian cancer in two prospective cohorts ［J］. Cancer Causesl
Control，2007，18（5）：517-523.
冯丹,刘佳丽,许崇安 .卵巢癌危险因素的 Meta 分析[J].中华肿瘤防治杂志.2010,11(17):1805-1807"
饮食.肉蛋奶=常吃水产品	肠癌	0.88	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
饮食.酒精=大于0.1g	糖尿病	0.86	Prevalence and Control of Diabetes in Chinese Adults
BMI=[0,21) and 性别=男	痛风	0.85	路杰, 崔凌凌, 李长贵. 原发性痛风流行病学研究进展[J]. 中华内科杂志, 2015, 54(3):244-247.
吸烟.量=吸烟	糖尿病	0.84	Prevalence and Control of Diabetes in Chinese Adults
生活方式=轻体力活动	肠癌	0.83	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
疾病史.内分泌系统=糖尿病史0～3年	痛风	0.81	路杰, 崔凌凌, 李长贵. 原发性痛风流行病学研究进展[J]. 中华内科杂志, 2015, 54(3):244-247.
饮食.植物=常吃花生类坚果	肠癌	0.79	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
生活方式=常锻炼	肠癌	0.78	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
饮食.其他=常吃植物油	肠癌	0.7	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
疾病史.内分泌系统=糖尿病史4～9年	痛风	0.67	路杰, 崔凌凌, 李长贵. 原发性痛风流行病学研究进展[J]. 中华内科杂志, 2015, 54(3):244-247.
饮食.偏好饮品=常喝茶	肠癌	0.64	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
饮食.植物=常吃新鲜蔬菜	鼻咽癌	0.64	韩旻雁，银恭举 ，陈维清. 中国人群鼻咽癌发病危险因素的Meta分析[J] . 中国热带医学，2005，5(7)：1442-1443
饮食.植物=常吃新鲜蔬菜	肠癌	0.6	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
饮食.植物=常用豆制品	肠癌	0.6	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
收入=高收入	宫颈癌	0.59	吕行, 犹忆, 关思宇,等. 宫颈癌危险因素的Meta分析[J]. 现代预防医学, 2011, 38(22):4596-4598.
饮食.植物=常吃葱蒜类食物	肠癌	0.58	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
饮食.肉蛋奶=常用奶制品	痛风	0.56	路杰, 崔凌凌, 李长贵. 原发性痛风流行病学研究进展[J]. 中华内科杂志, 2015, 54(3):244-247.
饮食.微量元素=高维生素C饮食	痛风	0.55	路杰, 崔凌凌, 李长贵. 原发性痛风流行病学研究进展[J]. 中华内科杂志, 2015, 54(3):244-247.
用药史=避孕药	卵巢癌	0.55	"冯丹,刘佳丽,许崇安 .卵巢癌危险因素的 Meta 分析[J].中华肿瘤防治杂志.2010,11(17):1805-1807
Braem MG，Onland-Moret NC，van den Brandt PA，et al. Reproduc
tive and hormonal factors in association with ovarian cancer in the
Netherlands cohort study ［J］. Am J Epidemiol，2010，172 （10）：
1181-1189. "
饮食.植物=常吃新鲜蔬菜	肺癌	 0.5 	王文雷,付莉,崔亚玲,陆维权.中国人群肺癌发病危险因素的Meta分析[J].现代预防医学,2008(22):4336-4338.
疾病史.内分泌系统=糖尿病史超10年	痛风	0.52	路杰, 崔凌凌, 李长贵. 原发性痛风流行病学研究进展[J]. 中华内科杂志, 2015, 54(3):244-247.
饮食.植物=常吃粗粮	肠癌	0.44	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
饮食.偏好饮品=常喝茶	宫颈癌	0.42	周权, 黄民主, 黄霜, et al. 中国已婚妇女宫颈癌发病影响因素Meta分析[J]. 中国癌症杂志, 2011, 21(2):125-129.
饮食.偏好饮品=常喝咖啡	痛风	0.41	路杰, 崔凌凌, 李长贵. 原发性痛风流行病学研究进展[J]. 中华内科杂志, 2015, 54(3):244-247.
饮食.植物=常吃新鲜蔬菜	宫颈癌	0.22	周权, 黄民主, 黄霜, et al. 中国已婚妇女宫颈癌发病影响因素Meta分析[J]. 中国癌症杂志, 2011, 21(2):125-129.
